episode,difficulty,steps,reward,evacuated,final_health,reward_mean_30,success_rate_30
58,easy,200,-19.92,0,100.0,12.0071,0.8333
59,easy,16,18.78,1,100.0,11.9547,0.8333
60,easy,17,17.83,1,100.0,11.9614,0.8333
61,easy,200,-19.67,0,100.0,10.6841,0.8
62,easy,46,19.33,1,100.0,10.5988,0.8
63,easy,21,17.55,1,100.0,10.5714,0.8
64,easy,42,17.81,1,100.0,10.6511,0.8
65,easy,34,21.03,1,100.0,10.7524,0.8
66,easy,1,16.76,1,100.0,10.7028,0.8
67,easy,19,16.63,1,100.0,11.9384,0.8333
68,easy,22,19.16,1,100.0,12.0137,0.8333
69,easy,19,17.58,1,100.0,12.0584,0.8333
70,easy,200,-21.27,0,100.0,11.9758,0.8333
71,easy,21,19.36,1,100.0,11.9054,0.8333
72,easy,13,18.59,1,100.0,11.9161,0.8333
73,easy,18,18.25,1,100.0,12.0771,0.8333
74,easy,25,19.19,1,100.0,11.9554,0.8333
75,easy,1,16.76,1,100.0,11.9031,0.8333
76,easy,12,17.64,1,100.0,13.0938,0.8667
77,easy,43,22.68,1,100.0,13.216,0.8667
78,easy,2,16.65,1,100.0,13.1657,0.8667
79,easy,11,18.64,1,100.0,14.4708,0.9
80,easy,23,21.87,1,100.0,14.5318,0.9
81,easy,5,17.94,1,100.0,14.5302,0.9
82,easy,2,17.23,1,100.0,14.4923,0.9
83,easy,36,18.86,1,100.0,14.5353,0.9
84,easy,13,18.26,1,100.0,14.5703,0.9
85,easy,22,18.32,1,100.0,14.575,0.9
86,easy,12,19.91,1,100.0,14.6397,0.9
87,easy,27,17.51,1,100.0,14.642,0.9
88,easy,200,-19.36,0,100.0,14.6607,0.9
89,easy,30,-12.38,0,0.0,13.622,0.8667
90,easy,17,17.18,1,100.0,13.6003,0.8667
91,easy,2,17.23,1,100.0,14.8303,0.9
92,easy,200,-20.1,0,99.0,13.516,0.8667
93,easy,24,17.6,1,100.0,13.5177,0.8667
94,easy,23,17.95,1,100.0,13.5223,0.8667
95,easy,24,21.62,1,100.0,13.542,0.8667
96,easy,11,18.51,1,100.0,13.6003,0.8667
97,easy,14,17.95,1,100.0,13.6443,0.8667
98,easy,16,19.97,1,100.0,13.6713,0.8667
99,easy,4,17.55,1,100.0,13.6703,0.8667
100,easy,15,18.6,1,100.0,14.9993,0.9
101,medium,16,16.31,1,100.0,14.8977,0.9
102,medium,35,9.635,1,29.0,14.5992,0.9
103,medium,61,-15.47,0,0.0,13.4752,0.8667
104,medium,14,17.03,1,100.0,13.4032,0.8667
105,medium,31,-18.74,0,0.0,12.2198,0.8333
106,medium,19,-15.59,0,0.0,11.1122,0.8
107,medium,17,17.39,1,100.0,10.9358,0.8
108,medium,21,11.31,1,80.0,10.7578,0.8
109,medium,15,15.85,1,100.0,10.6648,0.8
110,medium,7,16.1,1,100.0,10.4725,0.8
111,medium,27,14.95,1,94.0,10.3728,0.8
112,medium,19,15.74,1,100.0,10.3232,0.8
113,medium,33,17.97,1,100.0,10.2935,0.8
114,medium,3,15.16,1,100.0,10.1902,0.8
115,medium,7,16.48,1,100.0,10.1288,0.8
116,medium,20,17.86,1,100.0,10.0605,0.8
117,medium,14,15.0425,1,99.5,9.9782,0.8
118,medium,10,15.19,1,100.0,11.1299,0.8333
119,medium,24,10.3725,1,55.5,11.8883,0.8667
120,medium,8,15.62,1,100.0,11.8363,0.8667
121,medium,15,16.25,1,100.0,11.8037,0.8667
122,medium,14,16.135,1,99.0,13.0115,0.9
123,medium,1,14.26,1,100.0,12.9002,0.9
124,medium,13,16.72,1,100.0,12.8592,0.9
125,medium,30,10.3925,1,55.5,12.4849,0.9
126,medium,8,16.92,1,100.0,12.4319,0.9
127,medium,25,-13.34,0,0.0,11.3889,0.8667
128,medium,7,16.1,1,100.0,11.2599,0.8667
129,medium,19,14.1675,1,98.5,11.1472,0.8667
130,medium,67,-16.02,0,0.0,9.9932,0.8333
131,medium,26,-12.05,0,0.0,9.0478,0.8
132,medium,30,13.7425,1,93.5,9.1848,0.8
133,medium,25,14.4475,1,92.5,10.182,0.8333
134,medium,150,-26.935,0,54.5,8.7165,0.8
135,medium,13,15.77,1,100.0,9.8668,0.8333
136,medium,150,-16.3,0,100.0,9.8432,0.8333
137,medium,24,-17.86,0,0.0,8.6682,0.8
138,medium,2,14.73,1,100.0,8.7822,0.8
139,medium,150,-20.595,0,84.5,7.5673,0.7667
140,medium,18,15.61,1,84.0,7.551,0.7667
141,medium,5,15.31,1,100.0,7.563,0.7667
142,medium,19,-11.9,0,0.0,6.6417,0.7333
143,medium,23,19.75,1,100.0,6.701,0.7333
144,medium,8,15.64,1,100.0,6.717,0.7333
145,medium,52,-14.46,0,0.0,5.6857,0.7
146,medium,20,15.63,1,100.0,5.6113,0.7
147,medium,4,15.05,1,100.0,5.6116,0.7
148,medium,27,-18.93,0,0.0,4.4742,0.6667
149,medium,26,18.9,1,100.0,4.7585,0.6667
150,medium,27,15.5825,1,97.5,4.7572,0.6667
151,medium,2,14.73,1,100.0,4.7066,0.6667
152,medium,17,17.05,1,100.0,4.7371,0.6667
153,medium,21,14.4025,1,99.5,4.7418,0.6667
154,medium,72,-9.51,0,0.0,3.8675,0.6333
155,medium,21,-14.84,0,0.0,3.0264,0.6
156,medium,15,13.0075,1,72.5,2.896,0.6
157,medium,35,15.73,1,100.0,3.865,0.6333
158,medium,20,11.76,1,68.0,3.7203,0.6333
159,medium,14,15.56,1,100.0,3.7667,0.6333
160,medium,15,16.88,1,100.0,4.8634,0.6667
161,medium,150,-16.18,0,6.0,4.7257,0.6667
162,medium,8,16.04,1,100.0,4.8023,0.6667
163,medium,12,14.16,1,100.0,4.7927,0.6667
164,medium,24,19.26,1,100.0,6.3326,0.7
165,medium,6,15.79,1,100.0,6.3333,0.7
166,medium,9,16.01,1,100.0,7.4103,0.7333
167,medium,29,14.365,1,61.0,8.4844,0.7667
168,medium,10,15.81,1,100.0,8.5204,0.7667
169,medium,16,16.26,1,100.0,9.7489,0.8
170,medium,21,16.36,1,100.0,9.7739,0.8
171,medium,1,14.26,1,100.0,9.7389,0.8
172,medium,17,14.69,1,100.0,10.6252,0.8333
173,medium,22,17.94,1,100.0,10.5649,0.8333
174,medium,8,15.99,1,100.0,10.5766,0.8333
175,medium,16,-17.26,0,0.0,10.4832,0.8333
176,medium,21,12.625,1,47.0,10.3831,0.8333
177,medium,7,16.15,1,100.0,10.4198,0.8333
178,medium,20,13.82,1,94.0,11.5114,0.8667
179,medium,9,16.63,1,100.0,11.4358,0.8667
180,medium,2,14.73,1,100.0,11.4073,0.8667
181,medium,150,-18.26,0,100.0,10.3077,0.8333
182,medium,5,15.9,1,100.0,10.2693,0.8333
183,medium,3,15.16,1,100.0,10.2946,0.8333
184,medium,14,15.98,1,100.0,11.1442,0.8667
185,medium,150,-20.69,0,69.0,10.9492,0.8667
186,medium,12,16.0,1,100.0,11.049,0.8667
187,medium,62,11.835,1,89.0,10.9192,0.8667
188,medium,4,15.55,1,100.0,11.0455,0.8667
189,medium,7,16.1,1,100.0,11.0635,0.8667
190,medium,26,15.13,1,100.0,11.0052,0.8667
191,medium,35,15.075,1,97.0,12.047,0.9
192,medium,17,15.03,1,100.0,12.0133,0.9
193,medium,16,16.8,1,100.0,12.1013,0.9
194,medium,23,-14.93,0,0.0,10.9617,0.8667
195,medium,1,14.26,1,100.0,10.9107,0.8667
196,medium,52,10.78,1,68.0,10.7363,0.8667
197,medium,19,16.22,1,100.0,10.7982,0.8667
198,medium,25,-14.82,0,0.0,9.7772,0.8333
199,medium,150,-22.31,0,100.0,8.4915,0.8
200,medium,26,14.9825,1,87.5,8.4456,0.8
